bucket,unique_words,total_occurrences
01_exactly_1,30858,30858
02_exactly_2,4127,8254
03_3-5,3644,13461
04_6-10,1808,13808
05_11-25,1637,26997
06_26-50,1090,39116
07_51-100,784,55588
08_101-250,637,97716
09_251-500,261,90847
10_501-1000,130,87461
11_1001-5000,45,75011
12_5000+,2,12415
