bucket,unique_words,total_occurrences
01_exactly_1,23937,23937
02_exactly_2,3871,7742
03_3-5,3757,13950
04_6-10,2022,15324
05_11-25,1778,29150
06_26-50,796,28565
07_51-100,480,33901
08_101-250,321,48447
09_251-500,114,39183
10_501-1000,44,31771
11_1001-5000,41,79239
