bucket,unique_words,total_occurrences
01_exactly_1,30861,30861
02_exactly_2,4133,8266
03_3-5,3652,13492
04_6-10,1812,13838
05_11-25,1645,27129
06_26-50,1099,39488
07_51-100,798,56661
08_101-250,668,103384
09_251-500,285,100538
10_501-1000,159,108074
11_1001-5000,119,232203
12_5000+,16,107821
